11,PALL,El extra�o mundo de jack,The Nightmare Before Christmas,https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_.jpg,Fantasia,17/11/2006,Henry Selick,"El Se�or de Halloween, Jack Skellington, aburrido de hacer cada a�o lo mismo, descubre la Navidad en la Ciudad de la Navidad y queda fascinado, por lo que decide emplearse a fondo y mejorar dicha festividad. Con este fin, secuestra a Santa Claus y crea una versi�n de la Navidad totalmente opuesta a la que existe. S�lo su novia Sally es consciente del error que est� cometiendo."
12,EAFM,Interestelar,Interestelar,https://m.media-amazon.com/images/I/91vmAIK3d5L._AC_SL1500_.jpg,Ciencia Ficci�n/aventura,07/11/2014,Christopher Nolan,"Gracias a un descubrimiento, un grupo de cient�ficos y exploradores, encabezados por Cooper, se embarcan en un viaje espacial para encontrar un lugar con las condiciones necesarias para reemplazar a la Tierra y comenzar una nueva vida all�."
13,LANE,El chavou,El chavo en acapulco,https://cloudfront-us-east-1.images.arcpublishing.com/infobae/UXIT5W6GAFFFPGNRSGS4FSBBKM.jpg,Comedia,27/04/1972,Enrique segoviano,"Vacaciones en Acapulco es una saga de tres episodios especiales escritos por Roberto G�mez Bola�os para la serie mexicana de televisi�n El Chavo del 8. La trilog�a de cap�tulos fuegrabada en mayo de 1977,1? y transmitida originalmente entre mayo y junio de ese mismo a�o, con una primera repetici�n entre diciembre de 1978 y enero de 1979."
14,APOG,Atletico San Pancho,Atletico San Pancho,https://www.lavanguardia.com/peliculas-series/images/movie/poster/2001/10/w1280/jhJCXVdBijR5M0vmkIe52g9tbJX.jpg,Comedia / Deporte,27/07/2001,Gustavo Loza,"Unos ni�os que gustan de jugar f�tbol aprovechan el regreso de Alberto Estrada, un joven exjugador profesional, a su pueblo San Francisco del Monte, para as� formar con ayuda de Don Pepe un equipo de f�tbol local que compita en una liga intermunicipal. El equipo que forman se llama Atl�tico San Pancho."
15,MSC,Hermano oso,Brother Bear,https://i.discogs.com/dYZ-HMpcbX5JceVgKhKznq-vKJUUCfPsJe1zV1rjrJ4/rs:fit/g:sm/q:90/h:600/w:423/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MjEw/MTE5LTE2MTIxOTIy/MjctODQxNy5qcGVn.jpeg,Fantasia,17/12/2003,Robert Walker,Kenai es un muchacho que vive junto a sus hermanos y que est� esperando que le concedan un don sobre su personalidad que marcar� su vida y lo llevar� a ser hombre. Sin embargo se decepciona al recibir el don del amor en forma de oso.
16,LATC,Hab�a una vez en Hollywood,Once Upon a Time in Hollywood,https://m.media-amazon.com/images/I/914HwUZ810L._AC_SL1500_.jpg,"	Comedia dram�tica",21/05/2019,Quentin Tarantino,"A finales de los 60, Hollywood empieza a cambiar y el actor Rick Dalton tratar� de seguir el cambio. Junto a su doble, ambos ver�n como sus ra�ces les complican el cambio, y al mismo tiempo su relaci�n con la actriz Sharon Tate, que fue v�ctima de los Manson en la matanza de 1969, y que esta acaba de casarse con el prestigioso director Roman Polanski."
17,SBFH,Los juegos del hambre,The Hunger Games,https://www.themoviedb.org/t/p/original/1ewwtjqAcwZ5abr2X7coGN0UwaI.jpg,"Accion, Aventura, Ciencia Ficcion",23/03/2012,Gary Ross,"nos muestra un mundo dist�pico donde los Estados Unidos han sido devastados tras varias guerras, convirti�ndose en una nueva naci�n llamada Panem, un estado donde reina la pobreza. El Capitolio maneja con mano de hierro al pueblo y tras derrotar al �ltimo basti�n rebelde, cada a�o se escoge a dos representantes de cada distrito del pa�s (chico y chica) para participar en un macabro juego: ser�n obligados a sobrevivir enfrentados entre ellos en un estadio mientras se emite por televisi�n para todo el mundo. S�lo puede quedar un �nico superviviente."
18,JMAC,Blade Runner 2049,Blade Runner 2049,https://static.wikia.nocookie.net/doblaje/images/3/3b/BR2049_Key_Art_%28US%29_-_8.24_1200_1851_81_s.jpg/revision/latest/scale-to-width-down/1000?cb=20170825013044&path-prefix=es,"Neo-noir, Ciencia ficci�n",06/10/2017,Denis Villeneuve,"Tras la rebeli�n de los replicantes creados por bioingenier�a para ser utilizados como mano de obra esclava y la prohibici�n a Tyrell Corporation de seguir con su fabricaci�n, el empresario Niander Wallace adquiri� lo que quedaba de Tyrell Corp. y cre� una nueva l�nea de replicantes mucho m�s obedientes. Ahora, en el a�o 2049, los viejos modelos Nexus 8 que contin�an con vida est�n siendo retirados. Los que les persiguen a�n reciben el nombre de Blade Runner."
19,MLCD,El legado del diablo,Hereditary,https://pics.filmaffinity.com/Hereditary-649240958-large.jpg,Terror,08/06/2018,Ari Aster,"Despu�s de la muerte de la matriarca de los Graham, su hija, Annie, se muda a la casa con su familia. Annie espera olvidar los problemas que tuvo en su infancia all�, pero todo se tuerce cuando su hija empieza a ver figuras fantasmales."
20,MLCD,X,X,https://pics.filmaffinity.com/X-902988465-large.jpg,Terror,18/03/2022,Ti West,"Un equipo cinematogr�fico intenta grabar una pel�cula para adultos en una zona rural de Texas. Sin embargo, pronto, deber�n luchar por sobrevivir."
21,SFER,La naranja mecanica,The clockwork orange,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROAIPK_c6w5mNEmkCvSgHhwAA2WYogWyEg1z64Lv1klw&s,Drama/crimen,13/01/1972,Stanley Kubrick,Un criminal en la Inglaterra del futuro pasa una serie de procesos experimentales para corregir sus impulsos violentos.
22,OZL,La La Land: una historia de amor,La La Land,https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_.jpg,Musical,12/09/2016,Damien Chazzelle,"La pel�cula cuenta la historia de Mia, una empleada de un bar que aspira a ser actriz y Sebasti�n, un pianista de jazz desempleado con grandes ambiciones.? A pesar de sus diferencias y sus distintas personalidades, gracias a una serie de acontecimientos har�n que sus caminos acaben cruz�ndose."
23,AESQ,Pearl,Pearl,https://pics.filmaffinity.com/pearl-745024740-large.jpg,Terror,16/09/2022,Ti West,"Atrapada en la granja aislada de su familia, Pearl debe atender a su padre enfermo bajo la amarga y dominante vigilancia de su devota madre, deseando una vida glamurosa como la que ha visto en las pel�culas. Precuela de 'X' (2022) centrada en los or�genes del personaje de Pearl (Mia Goth)."
24,EBMV,Hamilton,Hamilton,https://upload.wikimedia.org/wikipedia/en/8/83/Hamilton-poster.jpg,Musical,20/01/2015,Thomas Kail,"La historia gira en torno a los padres fundadores de los Estados Unidos, como George Washington y Thomas Jefferson, y a las experiencias vividas por Alexander Hamilton a lo largo de su vida, en la que se code� con personajes hist�ricos como Aaron Burr y John Laurens. A trav�s de este musical en clave de hip hop, se puede ver c�mo Hamilton fue un hu�rfano en el Caribe, un inmigrante en Nueva York que consigui� hacerse un hueco en el ej�rcito personal de George Washington, ser elegido por el presidente como Secretario del Tesoro de los Estados Unidos, y convertirse en uno de los padres de la pol�tica econ�mica norteamericana."
25,JDAE,Nueve,9,https://es.web.img3.acsta.net/medias/nmedia/18/70/88/35/19178224.jpg,Aventura/Fantas�a ,09/09/2009,Shane Acker,"En un mundo postapocal�ptico, un mu�eco signado con el n�mero 9 convence a otros de su misma especie de que deben atacar a unas m�quinas que intentan destruirlos."
26,MLCD,Emma,Emma,https://pics.filmaffinity.com/Emma-347927632-large.jpg,Romance,14/02/2020,Autumn de Wilde,"Emma Woodhouse es una joven inglesa que se ocupa de las relaciones de quienes la rodean, aunque a veces de una manera un tanto entrometida."
27,AGLD,El tiempo contigo,Tenki no Ko,https://upload.wikimedia.org/wikipedia/en/6/66/Weathering_with_You_Poster.jpg,Romance,19/07/2019,Makoto Shinkai,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather."
28,ERRM,Assassin's Creed,Assassin's Creed,https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BNzE1OTczNTc1OF5BMl5BanBnXkFtZTgwMzgyMDI3MDI%40._V1_.jpg&tbnid=KC4kDcmBJrziHM&vet=12ahUKEwj2x6iWhcP-AhVOM94AHbjNAcEQMygBegUIARDBAQ..i&imgrefurl=https%3A%2F%2Fwww.imdb.com%2Ftitle%2Ftt2094766%2F&docid=cHoIKXKGLholzM&w=2023&h=3000&q=assassin%27s%20creed%202016&ved=2ahUKEwj2x6iWhcP-AhVOM94AHbjNAcEQMygBegUIARDBAQ,"Accion, Ciencia Ficci�n.",21/11/2016,Justin Kurzel,"La trama sigue a un hombre moderno llamado Callum Lynch que, a trav�s de una m�quina llamada Animus, explora los recuerdos de su antepasado Aguilar de Nerja, miembro de la Secta de los Asesinos de la vida real durante la Inquisici�n espa�ola, para obtener las habilidades de un Maestro Asesino y luchar contra los Caballeros templarios."
29,DEUM,Hombre Ara�a,The Amazing Spiderman,https://i.pinimg.com/originals/31/52/87/315287cac35345f24ec3530daebb1489.jpg,Ciencia Ficci�n,06/07/2012,Marc Webb,"Como la mayor�a de los adolescentes de su edad, Peter est� intentando descubrir qui�n es y c�mo ha llegado a ser lo que es. En su viaje para atar los cabos de su pasado, descubre un secreto familiar que finalmente dar� forma a su destino como Spiderman."
30,BMPG,Sonic 2: La Pel�cula,Sonic 2: La Pel�cula,https://static.cinepolis.com/img/peliculas/38740/1/1/38740.jpg,Horror/Ciencia Ficci�n,08/04/2022,Jeff Fowler,Sonic y su compa�ero Tails emprenden un viaje alrededor del mundo en busca de una esmeralda que tiene del poder de destruir civilizaciones.
31,LATC,Dune,Duna,https://pics.filmaffinity.com/Dune-209834814-large.jpg,Ciencia Ficci�n,08/03/2021,Denis Villeneuve,"Arrakis, tambi�n denominado ""Dune"", se ha convertido en el planeta m�s importante del universo. A su alrededor comienza una gigantesca lucha por el poder que culmina en una guerra interestelar."
32,DARG,Star Wars: El regreso del Jedi,Star Wars: Episode VI - Return of the Jedi,"https://lumiere-a.akamaihd.net/v1/images/rotj-in-theaters-40th-celebration-onesheet_1e34d642.jpeg?region=0,0,729,1080",Ciencia Ficci�n,16/12/1983,Richard Marquand,"Seis meses despu�s de que Han Solo fuera capturado y congelado en carbonita en la Ciudad de las Nubes, el Imperio Gal�ctico est� construyendo una nueva Estrella de la Muerte. Mientras tanto, el joven Luke lucha para alcanzar la maestr�a jedi."
33,FETV,El menu,The menu,https://pics.filmaffinity.com/El_men-905441147-large.jpg,Horror/Comedia,22/11/2022,Mark Mylod,"Una joven pareja viaja a una exclusiva isla para degustar el men� de un chef mundialmente aclamado. Sin embargo, el chef ha introducido un ingrediente secreto que sorprender� a los comensales."
34,ASAC,El principito,Le Petit Prince,https://paintiteasy.ch/wp-content/uploads/2022/01/IMG_3087.JPG,Aventura/Fantas�a ,06/11/2015,Mark Osborne,"Una ni�a se encuentra con un viejo aviador, quien le cuenta la historia de un joven pr�ncipe que vive en un mundo donde todo es posible."
35,VAHF,La Ballena,The Whale,https://pics.filmaffinity.com/the_whale-293958603-large.jpg,Drama | Familia. Enfermedad. Homosexualidad,09/02/2023,Darren Aronofsky,Un solitario profesor de ingl�s con obesidad severa (Brendan Fraser) intenta reconectar con su hija adolescente en una �ltima oportunidad de redenci�n.
